date,open,high,low,close,adj_close,volume,daily_return,volatility,MA30
2002-05-23,1.1564290523529053,1.2428569793701172,1.1457140445709229,1.1964290142059326,1.1964290142059326,104790000,,,
2002-05-24,1.214285969734192,1.225000023841858,1.1971429586410522,1.2100000381469729,1.2100000381469729,11104800,0.011342941185731314,,
2002-05-28,1.2135709524154663,1.2321430444717407,1.157142996788025,1.157142996788025,1.157142996788025,6609400,-0.043683503878144236,,
2002-05-29,1.1642860174179075,1.1642860174179075,1.0857139825820925,1.1035710573196411,1.1035710573196411,6757800,-0.046296732225047155,,
2002-05-30,1.1078569889068604,1.1078569889068604,1.0714290142059326,1.0714290142059326,1.0714290142059326,10154200,-0.029125485758728753,,
2002-05-31,1.0785709619522097,1.0785709619522097,1.0714290142059326,1.076429009437561,1.076429009437561,8464400,0.004666660287647728,,
2002-06-03,1.0800000429153442,1.1492860317230225,1.076429009437561,1.1285710334777832,1.1285710334777832,3151400,0.04843981682309595,,
2002-06-04,1.135714054107666,1.1399999856948853,1.1107139587402344,1.1178569793701172,1.1178569793701172,3105200,-0.009493468988522435,,
2002-06-05,1.1107139587402344,1.1592860221862793,1.1071430444717407,1.147143006324768,1.147143006324768,1531600,0.02619836660245456,,
2002-06-06,1.149999976158142,1.2321430444717407,1.1485710144042969,1.182142972946167,1.182142972946167,2305800,0.030510552240153865,,
2002-06-07,1.1778570413589478,1.1778570413589478,1.1035710573196411,1.1185710430145264,1.1185710430145264,1369200,-0.05377685388866715,,
2002-06-10,1.1349999904632568,1.1749999523162842,1.1342860460281372,1.1564290523529053,1.1564290523529053,484400,0.03384497531453379,,
2002-06-11,1.1564290523529053,1.1885709762573242,1.1285710334777832,1.1535710096359253,1.1535710096359253,1003800,-0.0024714380109742695,,
2002-06-12,1.1535710096359253,1.182142972946167,1.089285969734192,1.092857003211975,1.092857003211975,1799000,-0.05263135595190793,,
2002-06-13,1.1042859554290771,1.122143030166626,1.0800000429153442,1.0828570127487185,1.0828570127487185,2567600,-0.009150319240180615,,
2002-06-14,1.082142949104309,1.0857139825820925,0.9800000190734864,0.98642897605896,0.98642897605896,4783800,-0.08904964880357202,,
2002-06-17,1.01357102394104,1.0592859983444214,0.917856991291046,0.9221429824829102,0.9221429824829102,4855200,-0.06517042294609898,,
